"","fips","state","PST045214","PST040210","PST120214","POP010210","AGE135214","AGE295214","AGE775214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214","POP715213","POP645213","POP815213","EDU635213","EDU685213","VET605213","LFE305213","HSG010214","HSG445213","HSG096213","HSG495213","HSD410213","HSD310213","INC910213","INC110213","PVY020213","BZA010213","BZA110213","BZA115213","NES010213","SBO001207","SBO315207","SBO115207","SBO215207","SBO515207","SBO415207","SBO015207","MAN450207","WTN220207","RTN130207","RTN131207","AFN120207","BPS030214","LND110210","POP060210","Klans","TOTCNG","TOTADH","TOTRATE","EVANCNG","EVANADH","EVANRATE","BPRTCNG","BPRTADH","BPRTRATE","MPRTCNG","MPRTADH","MPRTRATE","CATHCNG","CATHADH","CATHRATE","ORTHCNG","ORTHADH","ORTHRATE","OTHCNG","OTHADH","OTHRATE","OCGCNG","AMECNG","AMEADH","AMERATE","AMEZCNG","AMEZADH","AMEZRATE","ALBCNG","ALBADH","ALBRATE","AWMCCNG","AWMCADH","AWMCRATE","ALBPCNG","AMANCNG","AMANADH","AMANRATE","AAMCNG","AAMADH","AAMRATE","AALCCNG","ABACNG","ABAADH","ABARATE","ABCCNG","ABCADH","ABCRATE","ACROCNG","ACROADH","ACRORATE","APCCNG","AMSHCNG","AMSHADH","AMSHRATE","ACNACNG","AOCACNG","AOCAADH","AOCARATE","ACCACNG","ACCAADH","ACCARATE","AFMCNG","AFMADH","AFMRATE","ALCACNG","AACACNG","AACAADH","AACARATE","ARMCNG","ARMADH","ARMRATE","AECCNG","AGCNG","AGADH","AGRATE","AGIFCNG","ARPCCNG","ARPCADH","ARPCRATE","AFLCCNG","AMCCNG","ARBCCNG","BAHCNG","BAHADH","BAHRATE","BAMCCNG","BAMCADH","BAMCRATE","BAMCNG","BAMADH","BAMRATE","BFCCNG","BFCADH","BFCRATE","BPCCNG","BCACNG","BCAADH","BCARATE","BCCCNG","BRUDCNG","BRUDADH","BRUDRATE","BUDMCNG","BUDMADH","BUDMRATE","BUDTCNG","BUDTADH","BUDTRATE","BUDVCNG","BUDVADH","BUDVRATE","BULGCNG","BULGADH","BULGRATE","CCFCCNG","CARCCNG","CTHCNG","CTHADH","CTHRATE","CYMFCNG","CYMFADH","CYMFRATE","CMACNG","CMAADH","CMARATE","CBCNG","CCDCCNG","CCDCADH","CCDCRATE","CCCCCNG","CCCCADH","CCCCRATE","CMECNG","CMEADH","CMERATE","CRCCNG","CRCADH","CRCRATE","CUCNG","CCHCNG","CCSCNG","CGAICNG","CGAIADH","CGAIRATE","CGCTCNG","CGCTADH","CGCTRATE","CG7DCNG","CGFCNG","CGGCCNG","CGGCADH","CGGCRATE","CGCCNG","CGCADH","CGCRATE","CGCMCNG","CGCMADH","CGCMRATE","CGPCNG","CGPADH","CGPRATE","CGAFCNG","CGMACNG","LDSCNG","LDSADH","LDSRATE","CAFCNG","CBRCNG","CBRADH","CBRRATE","CLBACNG","CLBAADH","CLBARATE","CLCCNG","NAZCNG","NAZADH","NAZRATE","CUBCCNG","CUBCADH","CUBCRATE","CHCHCNG","CHCHADH","CHCHRATE","CCCUCNG","CHGNCNG","CHGNADH","CHGNRATE","CRECCNG","COCCNG","COCADH","COCRATE","CCCCNG","CCCADH","CCCRATE","CHCCNG","CHCADH","CHCRATE","CMCCNG","CMCADH","CMCRATE","CBACNG","CCONCNG","CCONADH","CCONRATE","CJUDCNG","CJUDADH","CJUDRATE","CLACNG","CMCOCNG","CMCOADH","CMCORATE","CYFRCNG","CYFRADH","CYFRRATE","OFWBCNG","OFWBADH","OFWBRATE","CWCNG","CWADH","CWRATE","COPTCNG","COPTADH","COPTRATE","CRPCCNG","CUMBCNG","CUMBADH","CUMBRATE","CPCACNG","ELIMCNG","EBACNG","ECCNG","ECADH","ECRATE","EOCNG","EOADH","EORATE","ETHOCNG","EARCNG","EVCHCNG","ECCCNG","ECCADH","ECCRATE","ECOVCNG","ECOVADH","ECOVRATE","EFCACNG","EFCAADH","EFCARATE","EFCICNG","EFCIADH","EFCIRATE","ELCACNG","ELCAADH","ELCARATE","White","Black","Hispanic","Asian","Natives","Mixed","Metro_NonMetro","Farming_2015_Update","Mining_2015_Update","Manufacturing_2015_Update","Government_2015_Update","Recreation_2015_Update","Nonspecialized_2015_Update","Low_Education_2015_Update","Low_Employment_Cnty_2008_2012_25_64","Pop_Loss_2010","Retirement_Dest_2015_Update","Persistent_Poverty_2013","Persistent_Related_Child_Poverty_2013","votes","fraction_votes","voting_pop_percent","voting_population","absolute_votes","White_new","Black_new","Native_new","Asian_new","Islander_new","Mixed_new","Hispanic_new"
"22","29000","Missouri","6063589","5988923","1.2","5988927","6.2","23.0","15.4","50.9","83.5","11.8","0.5","1.9","0.1","2.1","4.0","80.1","83.8","3.9","6.1","87.6","26.2","479828","23.1","2735742","68.4","19.7","137000","2360131","2.47","25649","47380","15.5","150290","2355336","1.5","393292","501064","4.9","0.6","1.9","0.1","1.2","26.1","110907604","81032913","76575216","12957","11070634","16003","68741.52","87.1",5577,"9001","2950894","492.72","5711","1518847","253.61","337","93900","15.68","1806","462246","77.18","505","724315","120.94","25","6745","1.13","617","144841","24.18","","86","17203","2.87","9","1514","0.25","","","","","","","5","","","","1","136","0.02","1","23","2701","0.45","27","19991","3.34","","","","","78","9833","1.64","9","2","127","0.02","4","446","0.07","1","42","0.01","","","","","1","85","0.01","","469","117904","19.69","","3","32","0.01","3","","","17","1883","0.31","1","16","0","2","159","0.03","","","","","","","","","","","","17","5130","0.86","15","1853","0.31","2","87","0.01","","","","16","","504","724315","120.94","","","","5","452","0.08","7","324","81509","13.61","317","72756","12.15","18","5192","0.87","2","93","0.02","19","6","25","79","5132","0.86","71","13597","2.27","6","","9","244","0.04","65","13787","2.3","7","881","0.15","27","923","0.15","7","","145","66071","11.03","5","13","581","0.1","","","","2","177","26451","4.42","1","43","0.01","443","42805","7.15","","11","713","0.12","1","108","26177","4.37","","","","","","","6","339","0.06","","","","","3","3659","0.61","","","","","1","87","0.01","","","","8","1500","0.25","1","250","0.04","","24","1207","0.2","","","","95","23609","3.94","","","","1","3","2","","","","10","1815","0.3","41","9626","1.61","2","257","0.04","72","22260","3.72","0.81","0.12","0.04","0.01","N/A","0.02",7,6,4,1,16,6,7,6,18,4,3,9,21,382093,52.578,38.4,2328418,16,83.5,11.8,0.5,1.9,0.1,2.1,4
"23","30000","Montana","1023579","989417","3.5","989415","6.0","22.0","16.7","49.8","89.4","0.6","6.6","0.8","0.1","2.6","3.5","86.7","83.6","2.0","4.4","92.1","28.7","94404","18.0","491531","68.3","16.8","184200","405525","2.39","25373","46230","15.2","36529","350196","1.8","84251","114398","0.2","2.0","0.6","0.0","1.0","24.6","10638145","8202782","14686854","15343","2079426","3884","145545.8","6.8",236,"1778","376976","381.01","930","121064","122.36","4","331","0.33","407","76869","77.69","204","127612","128.98","6","565","0.57","227","50535","51.08","","3","316","0.32","","","","","","","2","88","0.09","","","","","","","","3","9","644","0.65","26","2562","2.59","","","","","4","363","0.37","1","","","","","","","","","","","","","","","","","","86","16577","16.75","","","","","5","","","6","663","0.67","","","","","","","","","","1","","","","","","","","8","341","0.34","1","267","0.27","2","250","0.25","","","","10","","204","127612","128.98","","","","37","6398","6.47","1","14","1924","1.94","22","3468","3.51","","","","7","1737","1.76","","","9","10","442","0.45","7","774","0.78","","","","","","","","","2","175","0.18","3","71","0.07","","","120","46484","46.98","","1","20","0.02","4","724","0.73","","21","2300","2.32","","","","40","2730","2.76","","","","","3","7","896","0.91","","","","","","","","","","5","3","482","0.49","","","","","","","","","","","","","","3","270","0.27","","","","","","","","","","","41","5297","5.35","","","","","","21","","","","2","544","0.55","13","1778","1.8","","","","126","38665","39.08","0.90","0.01","0.03","N/A","0.03","0.02",38,0,0,4,12,17,32,1,3,10,0,2,3,114056,42.373,38.7,396125,29,89.4,0.6,6.6,0.8,0.1,2.6,3.5
"24","31000","Nebraska","1881503","1826341","3.0","1826341","6.9","24.8","14.4","50.2","89.4","4.9","1.4","2.2","0.1","2.0","10.2","80.5","83.3","6.3","10.5","90.5","28.5","142176","18.1","814970","67.0","19.6","128000","725787","2.47","26899","51672","12.8","52585","830073","1.4","127427","159665","1.8","0.4","1.4","0.0","1.9","25.7","40157999","24019868","26486612","14965","2685580","7605","76824.17","23.8",1852,"2860","1016529","556.59","1243","288965","158.22","43","13106","7.18","1032","297522","162.91","350","372838","204.14","11","1493","0.82","181","42605","23.33","","5","816","0.45","2","252","0.14","","","","","","","","","","","","","","1","2","288","0.16","54","10679","5.85","","","","","3","275","0.15","1","3","475","0.26","","","","","","","","","","","","","","","98","20118","11.02","","","","","6","","1","5","684","0.37","","","","","","","","","","","1","95","0.05","","","","","11","4101","2.25","1","15","0.01","1","107","0.06","","","","4","","350","372838","204.14","","","","21","13500","7.39","1","51","8804","4.82","75","16427","8.99","1","126","0.07","3","302","0.17","","1","8","15","559","0.31","14","1311","0.72","2","","1","113","0.06","17","2372","1.3","3","356","0.19","4","195","0.11","","","62","23398","12.81","","4","295","0.16","","","","1","31","4281","2.34","","","","49","4308","2.36","","","","","","13","2213","1.21","","","","","","","","","","2","8","1952","1.07","2","1658","0.91","","","","","2","44","0.02","","","","31","3570","1.95","","","","","","","","","","","56","7981","4.37","","","","","","1","","","","19","2238","1.23","73","14234","7.79","1","45","0.02","250","110110","60.29","0.79","0.04","0.11","0.03","N/A","0.01",46,3,0,19,14,22,48,16,41,1,32,10,28,121287,60.212,39.2,737549,16,89.4,4.9,1.4,2.2,0.1,2,10.2
"25","32000","Nevada","2839099","2700692","5.1","2700551","6.2","23.4","14.2","49.7","76.2","9.1","1.6","8.3","0.7","4.0","27.8","51.5","77.7","19.1","29.3","84.6","22.4","226555","23.8","1198907","56.7","30.1","169100","999016","2.7","26589","52800","15.0","60306","1047657","3.3","192044","221260","3.9","0.8","7.9","0.3","8.1","28.6","15735787","19255893","37433983","14579","28815533","13016","109781.18","24.6",2,"1392","927955","343.62","665","213188","78.94","47","9751","3.61","145","41558","15.39","74","451070","167.03","15","9281","3.44","446","203107","75.21","","4","1301","0.48","","","","","","","","","","","","","","","","","1","3","379","0.14","17","5564","2.06","","","","","","","","4","1","217","0.08","","","","","","","","1","260","0.1","1","600","0.22","","61","30545","11.31","","","","","","1","","14","1723","0.64","","","","","","","","","","","","","","","","","","18","10504","3.89","6","4016","1.49","5","207","0.08","","","","22","","74","451070","167.03","","","","5","2424","0.9","","7","841","0.31","7","17727","6.56","1","43","0.02","5","436","0.16","","2","4","4","225","0.08","10","1017","0.38","2","","","","","24","6196","2.29","","","","5","136","0.05","","","323","175149","64.86","","","","","","","","","17","2991","1.11","","","","30","2829","1.05","","","","","1","2","317","0.12","","","","","","","","","","6","","","","3","1861","0.69","","","","","","","","","","","","","","","","","","","","","","","","30","5235","1.94","1","150","0.06","1","","","","","","1","72","0.03","4","828","0.31","1","112","0.04","21","10576","3.92","0.50","0.09","0.28","0.09","N/A","0.03",6,38,13,2,6,1,4,0,2,42,0,3,6,34531,7.307,37.6,1067501,3,76.2,9.1,1.6,8.3,0.7,4,27.8
"26","33000","New Hampshire","1326813","1316466","0.8","1316470","4.9","20.1","15.9","50.6","94.0","1.5","0.3","2.5","0.0","1.6","3.3","91.3","86.5","5.4","8.0","91.8","33.7","112790","26.3","619856","71.4","25.6","239900","518245","2.47","33134","64916","8.7","37185","551793","0.5","101795","137815","0.5","0.4","1.6","0.0","1.0","25.8","18592406","14564458","25353874","19246","2630968","3403","8952.65","147.0",30,"1025","462772","351.52","352","47128","35.8","1","","","411","81111","61.61","119","311028","236.26","17","4926","3.74","125","18579","14.11","","","","","","","","","","","","","","","","","","","","","","1","174","0.13","88","14396","10.94","","","","","","","","5","","","","","","","","","","1","","","","","","","","39","4740","3.6","","","","","","","","7","701","0.53","","","","","","","","","","","","","","","","","","9","229","0.17","","","","3","88","0.07","","","","4","","118","311028","236.26","","","","6","642","0.49","2","","","","10","3096","2.35","","","","2","108","0.08","","","15","1","0","","7","388","0.29","","","","","","","","","","","","1","23","0.02","","","21","8231","6.25","","","","","","","","","12","1444","1.1","","","","13","1075","0.82","","","","","1","","","","3","170","0.13","","","","","","","27","12","1095","0.83","3","1706","1.3","","","","","","","","","","","1","90","0.07","1","610","0.46","","","","","","","","47","14563","11.06","","","","","","","","","","6","1191","0.9","7","1393","1.06","","","","14","3765","2.86","0.92","0.01","0.03","0.03","N/A","0.01",38,0,3,36,6,3,41,2,15,16,4,1,6,100406,3.54796930018262,36,477653,21,94,1.5,0.3,2.5,0,1.6,3.3
"27","34000","New Jersey","8938175","8791936","1.7","8791894","6.0","22.5","14.7","51.2","73.0","14.8","0.6","9.4","0.1","2.1","19.3","56.8","90.1","21.2","30.0","88.1","35.8","437652","30.4","3591588","65.6","36.0","327100","3186418","2.71","36027","71629","10.4","230281","3492216","1.5","629395","781622","7.7","0.4","8.7","0.1","8.7","27.3","116608094","233413004","124813580","14453","19993613","28155","7354.22","1195.5",1791,"6114","4809520","547.04","2010","380347","43.26","422","129935","14.78","1917","502797","57.19","740","3235290","367.99","130","72431","8.24","895","488720","55.59","","117","33050","3.76","46","7630","0.87","","","","","","","1","","","","","","","","2","55","0.01","282","86120","9.8","7","974","0.11","1","","","","9","3","2150","0.24","","","","1","43","0","","1","3000","0.34","5","2490","0.28","","307","60430","6.87","","1","63","0.01","","1","1","12","1698","0.19","","","","","","","9","734","0.08","","","","","2","","","","49","20957","2.38","3","855","0.1","9","1248","0.14","","","","24","","729","3235290","367.99","","","","85","22879","2.6","16","23","2633","0.3","12","1289","0.15","3","941","0.11","24","4566","0.52","","","21","14","643","0.07","80","8223","0.94","2","1","","","","46","7895","0.9","","","","24","1869","0.21","","","59","31673","3.6","25","1","150","0.02","5","1437","0.16","","45","6732","0.77","1","15","0","39","4389","0.5","","1","0","","","3","483","0.05","","","","","","","","","","50","","","","65","56868","6.47","","","","","","","","","","","2","180","0.02","16","14025","1.6","","1","40","0","","6","","262","75390","8.57","","","","2","","","1","180","0.02","6","770","0.09","28","5023","0.57","","","","189","62644","7.13","0.58","0.13","0.19","0.09","N/A","0.01",18,20,26,5,10,3,25,4,26,12,4,12,26,356697,16.727,37.2,3325001,11,73,14.8,0.6,9.4,0.1,2.1,19.3
"28","35000","New Mexico","2085572","2059192","1.3","2059179","6.6","24.1","15.3","50.5","82.8","2.5","10.4","1.7","0.2","2.5","47.7","38.9","85.3","9.8","36.1","83.6","25.8","172717","21.6","912890","68.7","14.8","160000","761938","2.66","23763","44927","20.4","43737","606002","0.5","119195","157231","1.2","5.3","2.1","0.1","23.6","31.7","17122725","10589286","24469997","12429","3734300","4799","121298.15","17.0",22,"2447","1031198","500.78","1330","277326","134.68","40","4321","2.1","291","71118","34.54","443","584941","284.07","9","1995","0.97","334","91497","44.43","","4","724","0.35","","","","","","","2","7","0","","","","","","","","2","9","808","0.39","4","754","0.37","","","","","","","","15","1","112","0.05","","","","","","","","","","","","","","","149","30432","14.78","","","","","","","","18","2884","1.4","","","","","","","1","32","0.02","","","","","3","","","","24","3880","1.88","3","3029","1.47","18","1271","0.62","","","","23","","443","584941","284.07","","","","2","599","0.29","2","16","3129","1.52","33","4696","2.28","6","756","0.37","16","2237","1.09","","","9","4","790","0.38","56","3523","1.71","3","","","","","11","1262","0.61","3","104","0.05","12","463","0.22","1","","135","67637","32.85","","2","124","0.06","","","","1","45","8245","4","","","","148","15928","7.74","","2","0","","1","8","555","0.27","","","","","","","1","21","0.01","4","","","","1","675","0.33","","2","102","0.05","","","","","","","","","","1","24","0.01","","2","2573","1.25","","","","47","10646","5.17","","","","","","","","","","","","","4","980","0.48","","","","22","5991","2.91","0.40","0.02","0.43","N/A","0.12","0.01",13,4,0,3,8,8,16,1,10,0,10,0,2,73530,23.317,39.4,821715,9,82.8,2.5,10.4,1.7,0.2,2.5,47.7
"29","36000","New York","19746227","19378112","1.9","19378102","6.0","21.4","14.7","51.5","70.4","17.6","1.0","8.5","0.1","2.4","18.6","56.5","88.8","22.1","29.9","85.2","33.2","912499","31.6","8191040","54.2","50.6","288200","7234743","2.61","32382","58003","15.3","532669","7688492","1.7","1626367","1956733","10.4","0.7","10.1","0.1","9.9","30.4","162720173","313461904","230718065","11879","39813499","36286","47126.4","411.2",14792,"14110","9923512","512.1","4903","871326","44.96","644","202217","10.44","4276","1027403","53.02","1647","6287618","324.47","259","140297","7.24","2381","1394651","71.97","","87","49598","2.56","89","23650","1.22","","","","2","68","0","4","","","","","","","1","3","203","0.01","536","173405","8.95","8","1524","0.08","","86","10787","0.56","19","13","3721","0.19","1","120","0.01","6","259","0.01","","5","5450","0.28","10","2875","0.15","","522","92987","4.8","","16","1631","0.08","","","3","30","5118","0.26","3","244","0.01","","","","4","197","0.01","2","","","","1","9","1340","0.07","142","53368","2.75","13","8020","0.41","64","6877","0.35","2","170","0.01","28","","1630","6286916","324.43","","","","171","25786","1.33","10","77","6213","0.32","63","6767","0.35","13","4809","0.25","14","1904","0.1","","1","53","33","2379","0.12","216","30989","1.6","6","9","","","","128","22406","1.16","2","54","0","51","5635","0.29","","","151","78031","4.03","50","3","292","0.02","6","1394","0.07","","142","18302","0.94","3","109","0.01","107","10697","0.55","10","2","131","0.01","2","5","793","0.04","4","683","0.04","","","","","","","111","26","2402","0.12","126","82809","4.27","","6","1005","0.05","","","","","","","23","4590","0.24","14","11397","0.59","","2","167","0.01","","52","","653","163730","8.45","4","455","0.02","3","","","","","","19","2663","0.14","34","3710","0.19","3","192","0.01","386","134407","6.94","0.57","0.13","0.18","0.10","N/A","0.02",19,0,0,0,8,6,10,0,2,1,3,1,1,524932,35.103,36.1,7128388,7,70.4,17.6,1,8.5,0.1,2.4,18.6
"30","37000","North Carolina","9943964","9535691","4.3","9535483","6.1","23.0","14.7","51.3","71.5","22.1","1.6","2.7","0.1","2.1","9.0","64.1","84.7","7.6","10.9","84.9","27.3","724295","23.6","4452334","66.4","17.2","153600","3715565","2.53","25284","46334","17.5","218285","3421195","2.1","679725","798791","10.5","1.0","2.5","0.1","2.7","28.2","205867299","88795885","114578173","12641","16126939","49911","48617.91","196.1",1682,"15737","4530365","475.11","9763","2585530","271.15","1358","248257","26.04","3790","1130241","118.53","189","428860","44.98","43","15489","1.62","594","157936","16.56","","189","36281","3.8","613","109087","11.44","","","","","","","21","","","","","","","2","1","71","0.01","44","48513","5.09","3","124","0.01","","1","127","0.01","45","2","524","0.05","","","","1","43","0","1","","","","1","300","0.03","","277","56086","5.88","1","79","8460","0.89","","1","","25","5843","0.61","1","45","0","","","","","","","2","","","","2","","","","29","9883","1.04","7","2442","0.26","11","1111","0.12","","","","20","","189","392912","41.21","","","","52","9337","0.98","10","305","26932","2.82","155","31344","3.29","33","8324","0.87","1","145","0.02","","","21","49","3285","0.34","517","89359","9.37","4","","2","110","0.01","75","22849","2.4","2","183","0.02","146","8701","0.91","","1","153","76782","8.05","37","19","2154","0.23","","","","","69","8816","0.92","","","","197","24248","2.54","4","","","","2","7","845","0.09","2","669","0.07","18","688","0.07","","","","","3","833","0.09","6","5317","0.56","","","","","8","505","0.05","238","35921","3.77","5","2760","0.29","2","775","0.08","","","","","","1","","257","83234","8.73","2","200","0.02","3","11","","","","","6","1682","0.18","7","3360","0.35","9","396","0.04","215","69163","7.25","0.62","0.21","0.10","0.03","N/A","0.02",11,0,0,0,1,4,9,0,0,1,0,0,1,458151,44.667,37.7,3748874,12,71.5,22.1,1.6,2.7,0.1,2.1,9
"31","39000","Ohio","11594163","11536725","0.5","11536504","6.0","22.8","15.5","51.1","83.0","12.6","0.3","2.0","0.1","2.1","3.5","80.1","85.5","4.0","6.6","88.5","25.2","864923","23.0","5146933","67.5","22.9","130800","4557655","2.47","26046","48308","15.8","250117","4587136","0.9","745540","897939","5.8","0.3","2.0","0.0","1.1","27.7","295890890","135575279","138816008","12049","17779905","19872","40860.69","282.3",10136,"13606","5071684","439.62","6996","1491845","129.32","601","170388","14.77","4203","1154461","100.07","885","1992567","172.72","125","52216","4.53","796","210207","18.22","","113","25097","2.18","23","4478","0.39","","","","18","866","0.08","4","","","","","","","3","10","1119","0.1","286","98102","8.5","6","602","0.05","","432","59103","5.12","25","10","3661","0.32","9","3028","0.26","","","","","1","100","0.01","2","140","0.01","","285","62230","5.39","1","","","","4","","2","18","2159","0.19","22","2731","0.24","2","160","0.01","","","","1","24","2807","0.24","13","","","","25","9329","0.81","8","1831","0.16","9","509","0.04","2","205","0.02","12","","881","1992567","172.72","1","0","","120","41258","3.58","3","182","51486","4.46","466","141311","12.25","25","7388","0.64","6","848","0.07","57","3","42","223","28224","2.45","224","53489","4.64","2","","8","467","0.04","117","20900","1.81","4","504","0.04","42","2234","0.19","","26","129","58605","5.08","17","99","15723","1.36","1","602","0.05","","366","85226","7.39","44","3256","0.28","402","44859","3.89","139","32","4510","0.39","","34","4452","0.39","","","","","","","","","","7","23","4088","0.35","14","16767","1.45","","24","4116","0.36","8","540","0.05","","","","24","12660","1.1","4","2715","0.24","","","","","2","1","24","171","45904","3.98","3","820","0.07","1","8","3","5","546","0.05","16","2431","0.21","24","6687","0.58","49","7188","0.62","566","223253","19.35","0.80","0.12","0.03","0.02","N/A","0.03",27,25,1,18,2,15,33,0,0,24,8,0,2,727585,34.26,38.3,4440564,16,83,12.6,0.3,2,0.1,2.1,3.5
"32","40000","Oklahoma","3878051","3751616","3.4","3751351","6.8","24.6","14.5","50.5","75.1","7.7","9.0","2.1","0.2","5.9","9.8","67.0","82.5","5.5","9.4","86.4","23.5","312492","21.0","1699438","67.1","15.2","112800","1444081","2.55","24208","45339","16.9","91717","1325927","1.6","266444","333797","3.1","6.3","2.0","0.0","2.3","25.3","60681358","48074682","43095353","11931","5106585","14179","68594.92","54.7",10089,"7057","2226379","593.49","5289","1531381","408.22","200","51621","13.76","1054","383786","102.31","190","178430","47.56","18","2699","0.72","306","78462","20.92","","42","8633","2.3","5","748","0.2","","","","","","","","","","","","","","","84","11345","3.02","15","5640","1.5","","","","","6","523","0.14","6","5","1364","0.36","","","","","","","","","","","2","160","0.04","","497","85926","22.91","","","","","2","","1","9","1840","0.49","1","58","0.02","","","","","","","","","","","2","","","","16","7490","2","6","2083","0.56","2","46","0.01","","","","5","","190","178430","47.56","","","","9","1133","0.3","2","175","43928","11.71","197","35809","9.55","29","4445","1.18","","","","8","","12","32","7079","1.89","76","7309","1.95","9","","","","","40","6106","1.63","6","643","0.17","29","1891","0.5","10","","83","43033","11.47","","4","427","0.11","","","","","187","37278","9.94","","","","583","77495","20.66","","9","783","0.21","","24","3660","0.98","","","","","","","1","21","0.01","","","","","2","1757","0.47","","2","201","0.05","","","","","","","","","","2","115","0.03","","16","856","0.23","1","","","69","15955","4.25","","","","1","1","","","","","6","43907","11.7","9","502","0.13","11","620","0.17","34","6426","1.71","0.68","0.07","0.11","0.02","0.08","0.04",17,6,1,19,7,1,50,35,53,11,9,50,63,130141,24.225,39.1,1516318,9,75.1,7.7,9,2.1,0.2,5.9,9.8
"33","41000","Oregon","3970239","3831073","3.6","3831074","5.8","21.6","16.0","50.5","87.9","2.0","1.8","4.3","0.4","3.6","12.5","77.0","82.0","9.8","14.8","89.4","29.7","323205","22.5","1700549","62.0","23.2","238000","1516456","2.49","26809","50229","16.2","108527","1396563","2.4","260438","348154","1.2","1.2","3.6","0.2","3.3","29.8","66880653","51910777","50370919","13494","7555764","16645","95988.01","39.9",526,"4026","1194793","311.87","2428","447009","116.68","28","4471","1.17","639","140248","36.61","209","399440","104.26","25","7316","1.91","697","196309","51.24","","2","478","0.12","2","308","0.08","","","","","","","","","","","","","","","20","1899","0.5","42","11329","2.96","","","","","","","","4","1","500","0.13","2","441","0.12","5","1141","0.3","3","","","","1","800","0.21","","223","45492","11.87","","","","","3","","2","45","5281","1.38","","","","","","","","","","1","","","","2","","","","41","11992","3.13","4","1255","0.33","26","1538","0.4","","","","57","","208","398738","104.08","","","","23","12254","3.2","","38","10866","2.84","151","35623","9.3","3","417","0.11","8","1016","0.27","","","31","46","4517","1.18","37","4195","1.09","5","","","","","12","2247","0.59","2","174","0.05","21","731","0.19","1","","304","147965","38.62","","4","261","0.07","3","303","0.08","","99","21444","5.6","1","39","0.01","116","10955","2.86","","","","","3","13","2132","0.56","","","","1","44","0.01","","","","166","","","","1","2619","0.68","","1","241","0.06","","","","","","","16","1440","0.38","1","100","0.03","","","","","","","","96","20348","5.31","2","205","0.05","1","","41","","","","19","4313","1.13","14","1898","0.5","37","4547","1.19","117","35764","9.34","0.76","0.02","0.12","0.06","N/A","0.03",34,32,2,16,11,7,52,8,33,14,14,14,30,240804,25,37.6,1492810,16,87.9,2,1.8,4.3,0.4,3.6,12.5
